feature,category,CL — LightGBM,CL — RandomForest,CL — XGBoost,Direct — LGBM Dense,MIMO — RF,MIMO — XGB Dense,OL — LGBM-SS Daily,avg
w_athens_precipitation_missing,Other,0.0,7.925607483027977e-06,0.0,0.0,1.3931510590645914e-06,0.0,0.0,1.3312512202989384e-06
w_athens_cloud_cover_missing,Other,0.0,7.630933324686032e-06,0.0,0.0,1.5676548822541426e-06,0.0,0.0,1.314084029562882e-06
w_thessaloniki_wind_speed_10m_missing,Other,0.0,7.38918613717565e-06,0.0,0.0,1.6145634924187842e-06,0.0,0.0,1.2862499470849194e-06
w_gr_mean_cloud_cover_missing,Other,0.0,7.687642801684859e-06,0.0,0.0,1.3120369383881662e-06,0.0,0.0,1.2856685342961465e-06
w_thessaloniki_relative_humidity_2m_missing,Other,0.0,7.5941725152346175e-06,0.0,0.0,1.3549215528266006e-06,0.0,0.0,1.278442009723031e-06
w_athens_shortwave_radiation_missing,Other,0.0,7.236144579051163e-06,0.0,0.0,1.3912496023416023e-06,0.0,0.0,1.2324848830561095e-06
w_gr_mean_shortwave_radiation_missing,Other,0.0,7.127945497941015e-06,0.0,0.0,1.3397786237948542e-06,0.0,0.0,1.2096748745336955e-06
w_larissa_cloud_cover_missing,Other,0.0,7.413180319355921e-06,0.0,0.0,1.0480969952920101e-06,0.0,0.0,1.2087539020925615e-06
w_thessaloniki_precipitation_missing,Other,0.0,7.06895690598291e-06,0.0,0.0,1.3855296566901518e-06,0.0,0.0,1.2077837946675803e-06
w_gr_mean_relative_humidity_2m_missing,Other,0.0,6.90531968045091e-06,0.0,0.0,1.2245453029024743e-06,0.0,0.0,1.1614092833361977e-06
w_thessaloniki_shortwave_radiation_missing,Other,0.0,6.759736341225713e-06,0.0,0.0,1.3673945502112142e-06,0.0,0.0,1.1610186987767038e-06
w_larissa_precipitation_missing,Other,0.0,6.886690174994708e-06,0.0,0.0,1.2307534813688543e-06,0.0,0.0,1.1596348080519377e-06
w_athens_relative_humidity_2m_missing,Other,0.0,6.627555935828994e-06,0.0,0.0,1.4743016572621427e-06,0.0,0.0,1.157408227584448e-06
w_thessaloniki_temperature_2m_missing,Other,0.0,6.605316497337276e-06,0.0,0.0,1.4841947145491804e-06,0.0,0.0,1.1556444588409224e-06
w_gr_mean_wind_gusts_10m_missing,Other,0.0,6.80789612702714e-06,0.0,0.0,1.0735819326527933e-06,0.0,0.0,1.1259254370971334e-06
w_gr_mean_precipitation_missing,Other,0.0,6.575544710131821e-06,0.0,0.0,1.1767761269047846e-06,0.0,0.0,1.1074744052909435e-06
w_larissa_shortwave_radiation_missing,Other,0.0,6.045370003654998e-06,0.0,0.0,1.1740167990938779e-06,0.0,0.0,1.031340971821268e-06
w_gr_mean_wind_speed_10m_missing,Other,0.0,5.441073669966054e-06,0.0,0.0,1.2702206824064615e-06,0.0,0.0,9.587563360532166e-07
w_larissa_relative_humidity_2m_missing,Other,0.0,4.989923144363619e-06,0.0,0.0,1.0845024265119065e-06,0.0,0.0,8.677750815536465e-07
